filename,class,city,phase
"../data/imagery/madrid, es\Sports and leisure facilities\madrid,-es_z17_40.19186_-3.65752.jpg",Sports and leisure facilities,"madrid, es",training
"../data/imagery/madrid, es\Sports and leisure facilities\madrid,-es_z17_40.39775_-3.63119.jpg",Sports and leisure facilities,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.53201_-3.78661.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.35548_-3.29591.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_40.53446_-3.65751.jpg","Industrial, commercial, public, military and private units","madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.76725_-4.07019.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_40.32020_-3.46745.jpg","Industrial, commercial, public, military and private units","madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.60343_-3.78285_grid-i54_grid-j74.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_40.52181_-3.88399.jpg","Industrial, commercial, public, military and private units","madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.58531_-3.86289_grid-i35_grid-j69.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.54182_-3.71545_grid-i70_grid-j57.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Forests\madrid,-es_z17_40.78191_-3.84892.jpg",Forests,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.38586_-4.36806.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.57111_-3.94018.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_40.42284_-3.49120.jpg","Industrial, commercial, public, military and private units","madrid, es",training
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_40.45121_-3.72388_grid-i68_grid-j32.jpg","Industrial, commercial, public, military and private units","madrid, es",validation
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_40.53776_-3.46871.jpg","Industrial, commercial, public, military and private units","madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.53095_-3.80813_grid-i48_grid-j54.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.61625_-3.34319.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Forests\madrid,-es_z17_40.47760_-3.80997.jpg",Forests,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.52732_-3.73230_grid-i66_grid-j53.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.65780_-3.95978_grid-i12_grid-j89.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.49823_-3.38315.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Forests\madrid,-es_z17_40.51116_-3.22260.jpg",Forests,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.46268_-3.50963.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Green urban areas\madrid,-es_z17_40.41497_-3.85447_grid-i37_grid-j22.jpg",Green urban areas,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.50771_-3.34051.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Green urban areas\madrid,-es_z17_40.36776_-3.67153.jpg",Green urban areas,"madrid, es",training
"../data/imagery/madrid, es\Water bodies\madrid,-es_z17_40.97846_-3.66531.jpg",Water bodies,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.71653_-3.89565.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_40.44828_-3.64203.jpg","Industrial, commercial, public, military and private units","madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.65417_-3.88395_grid-i30_grid-j88.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.49014_-3.65630.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.79697_-3.78640.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Sports and leisure facilities\madrid,-es_z17_40.46363_-3.75714.jpg",Sports and leisure facilities,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.52732_-3.87132_grid-i33_grid-j53.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.41679_-3.21664.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.65780_-3.86710_grid-i34_grid-j89.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.56356_-3.65648_grid-i84_grid-j63.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Sports and leisure facilities\madrid,-es_z17_40.48061_-3.42283.jpg",Sports and leisure facilities,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.81847_-3.77568.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.74383_-3.75975.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Forests\madrid,-es_z17_40.27714_-3.46749.jpg",Forests,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.54564_-3.78479.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_40.58328_-4.02270.jpg","Industrial, commercial, public, military and private units","madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.59256_-3.72388_grid-i68_grid-j71.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Water bodies\madrid,-es_z17_40.97570_-3.66194.jpg",Water bodies,"madrid, es",training
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_39.95022_-3.73985.jpg","Industrial, commercial, public, military and private units","madrid, es",training
"../data/imagery/madrid, es\Sports and leisure facilities\madrid,-es_z17_40.45668_-3.74055.jpg",Sports and leisure facilities,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.59256_-3.90923_grid-i24_grid-j71.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_40.34944_-3.84975.jpg","Industrial, commercial, public, military and private units","madrid, es",training
"../data/imagery/madrid, es\Water bodies\madrid,-es_z17_40.58182_-4.04497.jpg",Water bodies,"madrid, es",training
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_40.34164_-3.83434.jpg","Industrial, commercial, public, military and private units","madrid, es",training
"../data/imagery/madrid, es\Forests\madrid,-es_z17_40.30151_-4.41852.jpg",Forests,"madrid, es",training
"../data/imagery/madrid, es\Sports and leisure facilities\madrid,-es_z17_40.50311_-3.62750.jpg",Sports and leisure facilities,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.63968_-3.80813_grid-i48_grid-j84.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.48021_-3.98927_grid-i5_grid-j40.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_40.20372_-3.67528.jpg","Industrial, commercial, public, military and private units","madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.63605_-3.61435_grid-i94_grid-j83.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Green urban areas\madrid,-es_z17_40.38574_-3.60147.jpg",Green urban areas,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.66867_-3.88395_grid-i30_grid-j92.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.37181_-3.38360.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_40.31691_-3.46973.jpg","Industrial, commercial, public, military and private units","madrid, es",training
"../data/imagery/madrid, es\Forests\madrid,-es_z17_40.21401_-4.56832.jpg",Forests,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.66867_-3.92608_grid-i20_grid-j92.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.48021_-3.82077_grid-i45_grid-j40.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.50920_-3.90080_grid-i26_grid-j48.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.16395_-3.26548.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.49833_-3.95135_grid-i14_grid-j45.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.52370_-3.75336_grid-i61_grid-j52.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Green urban areas\madrid,-es_z17_40.45709_-3.60263.jpg",Green urban areas,"madrid, es",training
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_40.35034_-3.80089.jpg","Industrial, commercial, public, military and private units","madrid, es",training
"../data/imagery/madrid, es\Green urban areas\madrid,-es_z17_40.45484_-3.71966_grid-i69_grid-j33.jpg",Green urban areas,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.61068_-3.77021_grid-i57_grid-j76.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Forests\madrid,-es_z17_40.22892_-4.55514.jpg",Forests,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.67309_-4.12818.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.65055_-3.61014_grid-i95_grid-j87.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Green urban areas\madrid,-es_z17_40.45121_-3.73230_grid-i66_grid-j32.jpg",Green urban areas,"madrid, es",validation
"../data/imagery/madrid, es\Water bodies\madrid,-es_z17_40.55269_-3.78706_grid-i53_grid-j60.jpg",Water bodies,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.46571_-3.96820_grid-i10_grid-j36.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Sports and leisure facilities\madrid,-es_z17_40.37134_-3.65684.jpg",Sports and leisure facilities,"madrid, es",training
"../data/imagery/madrid, es\Sports and leisure facilities\madrid,-es_z17_40.62724_-3.60591.jpg",Sports and leisure facilities,"madrid, es",training
"../data/imagery/madrid, es\Forests\madrid,-es_z17_41.11499_-3.56649.jpg",Forests,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.59981_-3.69439_grid-i75_grid-j73.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.28013_-3.64108.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_40.37200_-3.77169.jpg","Industrial, commercial, public, military and private units","madrid, es",training
"../data/imagery/madrid, es\Green urban areas\madrid,-es_z17_40.31736_-3.79451.jpg",Green urban areas,"madrid, es",training
"../data/imagery/madrid, es\Forests\madrid,-es_z17_40.70199_-3.66077.jpg",Forests,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.54544_-3.74073_grid-i64_grid-j58.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.57444_-3.66490_grid-i82_grid-j66.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.39322_-3.94293_grid-i16_grid-j16.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Water bodies\madrid,-es_z17_40.98800_-3.57859.jpg",Water bodies,"madrid, es",training
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_40.31314_-4.51344.jpg","Industrial, commercial, public, military and private units","madrid, es",training
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_40.38390_-3.73924.jpg","Industrial, commercial, public, military and private units","madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.53457_-3.80392_grid-i49_grid-j55.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Forests\madrid,-es_z17_40.58665_-4.28003.jpg",Forests,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.58894_-3.65648_grid-i84_grid-j70.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Green urban areas\madrid,-es_z17_40.42946_-3.75336_grid-i61_grid-j26.jpg",Green urban areas,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.88387_-3.90458.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.19299_-3.47355.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.55994_-3.71966_grid-i69_grid-j62.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Forests\madrid,-es_z17_40.57597_-3.69780.jpg",Forests,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.43671_-3.84183_grid-i40_grid-j28.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Sports and leisure facilities\madrid,-es_z17_40.95183_-3.72844.jpg",Sports and leisure facilities,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.53881_-3.66115.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Forests\madrid,-es_z17_40.42925_-3.15835.jpg",Forests,"madrid, es",training
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_40.57321_-3.57706.jpg","Industrial, commercial, public, military and private units","madrid, es",training
"../data/imagery/madrid, es\Green urban areas\madrid,-es_z17_40.43563_-3.87686.jpg",Green urban areas,"madrid, es",training
"../data/imagery/madrid, es\Green urban areas\madrid,-es_z17_40.37472_-3.71199.jpg",Green urban areas,"madrid, es",training
